Index, Title, Genre Vec 
232,Powers That Prey,[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
233,Revenge,[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
234,The Romance of Tarzan,[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
235,Salomé,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
236,The Scarlet Drop,[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
237,Set Free,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
238,Shoulder Arms,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
239,Social Briars,[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
240,The Squaw Man,[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
241,Stella Maris,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
242,Tarzan of the Apes,[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
243,Till I Come Back to You,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
244,Treasure Island,[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
245,Under the Yoke,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
247,The Venus Model,[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]
248,We Can't Have Everything,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
249,When Do We Eat?,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
250,Which Woman?,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
251,The Whispering Chorus,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
252,Anne of Green Gables,[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
253,Ask Father,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
255,Better Times,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
256,Blind Husbands,[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]
257,Bolshevism on Trial,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
258,Broken Blossoms,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
259,Bumping Into Broadway,[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
260,Daddy-Long-Legs,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
261,Dangerous Hours,[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
263,The Delicious Little Devil,[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
